Source Node,Source Tier,Target Node,Target Tier,Edge Type
Crude Oil,Tier 4,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",Tier 2,Raw Material Flow
Natural Gas,Tier 4,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",Tier 2,Raw Material Flow
Crude Oil,Tier 4,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Plastics Bag and Pouch Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Bag and Pouch Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Bag and Pouch Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Raw Material Flow
Crude Oil,Tier 4,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Raw Material Flow
Natural Gas,Tier 4,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Raw Material Flow
Crude Oil,Tier 4,Polystyrene Foam Product Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Polystyrene Foam Product Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Plastics Bottle Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Bottle Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Bottle Manufacturing,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Plastics Plumbing Fixture Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Plumbing Fixture Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Plumbing Fixture Manufacturing ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,All Other Plastics Product Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,All Other Plastics Product Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,All Other Plastics Product Manufacturing ,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,Tire Manufacturing (except Retreading) ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Tire Manufacturing (except Retreading) ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Tire Manufacturing (except Retreading) ,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,Tire Retreading ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Tire Retreading ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Tire Retreading ,Tier 2,Raw Material Flow
Polypropylene,Tier 4,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,All Other Rubber Product Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,All Other Rubber Product Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,All Other Rubber Product Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Raw Material Flow
Steel,Tier 4,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Raw Material Flow
Steel,Tier 4,Rolled Steel Shape Manufacturing ,Tier 3,Raw Material Flow
Steel,Tier 4,Steel Wire Drawing ,Tier 3,Raw Material Flow
Copper,Tier 4,Steel Wire Drawing ,Tier 3,Raw Material Flow
Aluminum,Tier 4,Alumina Refining and Primary Aluminum Production ,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Alumina Refining and Primary Aluminum Production ,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Alumina Refining and Primary Aluminum Production ,Tier 3,Raw Material Flow
Platinum,Tier 4,Alumina Refining and Primary Aluminum Production ,Tier 3,Raw Material Flow
Aluminum,Tier 4,Secondary Smelting and Alloying of Aluminum ,Tier 3,Raw Material Flow
Aluminum,Tier 4,"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Raw Material Flow
Crude Oil,Tier 4,"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Raw Material Flow
Natural Gas,Tier 4,"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Raw Material Flow
Platinum,Tier 4,"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Raw Material Flow
Aluminum,Tier 4,"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Raw Material Flow
Aluminum,Tier 4,Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Raw Material Flow
Platinum,Tier 4,Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Raw Material Flow
Copper,Tier 4,"Copper Rolling, Drawing, Extruding, and Alloying",Tier 3,Raw Material Flow
Aluminum,Tier 4,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Raw Material Flow
Copper,Tier 4,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Raw Material Flow
Aluminum,Tier 4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Raw Material Flow
Copper,Tier 4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Raw Material Flow
Crude Oil,Tier 4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Raw Material Flow
Natural Gas,Tier 4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Raw Material Flow
Platinum,Tier 4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Raw Material Flow
Steel,Tier 4,Iron Foundries ,Tier 3,Raw Material Flow
Steel,Tier 4,Steel Investment Foundries ,Tier 3,Raw Material Flow
Steel,Tier 4,Steel Foundries (except Investment) ,Tier 3,Raw Material Flow
Aluminum,Tier 4,Aluminum Foundries (except Die-Casting) ,Tier 3,Raw Material Flow
Steel,Tier 4,Iron and Steel Forging ,Tier 2,Raw Material Flow
Steel,Tier 4,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",Tier 2,Raw Material Flow
Natural Rubber,Tier 4,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",Tier 2,Raw Material Flow
Copper,Tier 4,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",Tier 2,Raw Material Flow
Crude Oil,Tier 4,Power Boiler and Heat Exchanger Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Power Boiler and Heat Exchanger Manufacturing,Tier 2,Raw Material Flow
Platinum,Tier 4,Power Boiler and Heat Exchanger Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Other Fabricated Wire Product Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Farm Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Farm Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Farm Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Construction Machinery Manufacturing,Tier 2,Raw Material Flow
Aluminum,Tier 4,Construction Machinery Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Construction Machinery Manufacturing,Tier 2,Raw Material Flow
Steel,Tier 4,Mining Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Mining Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Mining Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Platinum,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Food Product Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Food Product Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Food Product Machinery Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Gallium,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Germanium,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Tantalum,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Steel,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Aluminum,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Copper,Tier 4,Semiconductor Machinery Manufacturing ,Tier 3,Raw Material Flow
Steel,Tier 4,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,All Other Industrial Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,All Other Industrial Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,All Other Industrial Machinery Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Heating Equipment (except Warm Air Furnaces) Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Heating Equipment (except Warm Air Furnaces) Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Heating Equipment (except Warm Air Furnaces) Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Industrial Mold Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Industrial Mold Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Industrial Mold Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,Cutting Tool and Machine Tool Accessory Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Cutting Tool and Machine Tool Accessory Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Cutting Tool and Machine Tool Accessory Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Machine Tool Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Machine Tool Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Machine Tool Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Turbine and Turbine Generator Set Units Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Turbine and Turbine Generator Set Units Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Turbine and Turbine Generator Set Units Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,Mechanical Power Transmission Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Mechanical Power Transmission Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Mechanical Power Transmission Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Other Engine Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Other Engine Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Other Engine Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Air and Gas Compressor Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Air and Gas Compressor Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Air and Gas Compressor Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,Elevator and Moving Stairway Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Elevator and Moving Stairway Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Elevator and Moving Stairway Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Conveyor and Conveying Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Conveyor and Conveying Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Conveyor and Conveying Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Raw Material Flow
Aluminum,Tier 4,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,Power-Driven Handtool Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Power-Driven Handtool Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Power-Driven Handtool Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Welding and Soldering Equipment Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Welding and Soldering Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Welding and Soldering Equipment Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Packaging Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Packaging Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Packaging Machinery Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Industrial Process Furnace and Oven Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Industrial Process Furnace and Oven Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Industrial Process Furnace and Oven Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Fluid Power Cylinder and Actuator Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Fluid Power Cylinder and Actuator Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Fluid Power Cylinder and Actuator Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Fluid Power Pump and Motor Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,Fluid Power Pump and Motor Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Fluid Power Pump and Motor Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Raw Material Flow
Aluminum,Tier 4,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Electronic Computer Manufacturing ,Tier 2,Raw Material Flow
Gallium,Tier 4,Electronic Computer Manufacturing ,Tier 2,Raw Material Flow
Germanium,Tier 4,Electronic Computer Manufacturing ,Tier 2,Raw Material Flow
Tantalum,Tier 4,Electronic Computer Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Electronic Computer Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Computer Storage Device Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Computer Storage Device Manufacturing ,Tier 2,Raw Material Flow
